valence,year,,,
0.779,1928,,,
0.0767,1928,,,
0.88,1928,,,
0.72,1928,,,
0.0693,1928,,,
0.266,1928,,,
0.305,1928,,,
0.857,1928,,,
0.493,1928,,,
0.759,1928,,,
0.0393,1928,,,
0.346,1928,,,
0.042,1928,,,
0.216,1928,,,
0.406,1928,,,
0.169,1928,,,
0.0488,1928,,,
0.849,1928,,,
0.596,1928,,,
0.832,1928,,,
0.661,1928,,,
0.568,1928,,,
0.168,1928,,,
0.933,1928,,,
0.782,1928,,,
0.433,1928,,,
0.562,1928,,,
0.18,1928,,,
0.182,1928,,,
0.545,1928,,,
0.868,1928,,,
0.555,1928,,,
0.645,1928,,,
0.0379,1928,,,
0.702,1928,,,
0.934,1928,,,
0.672,1928,,,
0.781,1928,,,
0.667,1928,,,
0.703,1928,,,
0.0479,1928,,,
0.0791,1928,,,
0.135,1928,,,
0.902,1928,,,
0.559,1928,,,
0.595,1928,,,
0.806,1928,,,
0.276,1928,,,
0.26,1928,,,
0.146,1928,,,
0.229,1928,,,
0.235,1928,,,
0.681,1928,,,
0.595,1928,,,
0.0642,1928,,,
0.704,1928,,,
0.844,1928,,,
0.0917,1928,,,
0.711,1928,,,
0.976,1928,,,
0.681,1928,,,
0.516,1928,,,
0.0932,1928,,,
0.866,1928,,,
0.266,1928,,,
0.695,1928,,,
0.511,1928,,,
0.234,1928,,,
0.3,1928,,,
0.836,1928,,,
0.164,1928,,,
0.611,1928,,,
0.194,1928,,,
0.516,1928,,,
0.279,1928,,,
0.404,1928,,,
0.705,1928,,,
0.0775,1928,,,
0.447,1928,,,
0.0722,1928,,,
0.188,1928,,,
0.697,1928,,,
0.454,1928,,,
0.0548,1928,,,
0.0655,1928,,,
0.119,1928,,,
0.114,1928,,,
0.717,1928,,,
0.856,1928,,,
0.89,1928,,,
0.18,1928,,,
0.105,1928,,,
0.844,1928,,,
0.413,1928,,,
0.692,1928,,,
0.687,1928,,,
0.752,1928,,,
0.0606,1928,,,
0.374,1928,,,
0.481,1928,,,
0.847,1930,,,
0.691,1930,,,
0.88,1930,,,
0.18,1930,,,
0.909,1930,,,
0.325,1930,,,
0.312,1930,,,
0.949,1930,,,
0.804,1930,,,
0.544,1930,,,
0.858,1930,,,
0.164,1930,,,
0.158,1930,,,
0.886,1930,,,
0.697,1930,,,
0.447,1930,,,
0.967,1930,,,
0.261,1930,,,
0.696,1930,,,
0.874,1930,,,
0.305,1930,,,
0.353,1930,,,
0.594,1930,,,
0.654,1930,,,
0.797,1930,,,
0.603,1930,,,
0.65,1930,,,
0.688,1930,,,
0.975,1930,,,
0.965,1930,,,
0.505,1930,,,
0.716,1930,,,
0.69,1930,,,
0.915,1930,,,
0.589,1930,,,
0.772,1930,,,
0.64,1930,,,
0.716,1930,,,
0.184,1930,,,
0.926,1930,,,
0.313,1930,,,
0.442,1930,,,
0.696,1930,,,
0.856,1930,,,
0.617,1930,,,
0.54,1930,,,
0.926,1930,,,
0.327,1930,,,
0.842,1930,,,
0.796,1930,,,
0.561,1930,,,
0.388,1930,,,
0.881,1930,,,
0.968,1930,,,
0.713,1930,,,
0.617,1930,,,
0.578,1930,,,
0.418,1930,,,
0.931,1930,,,
0.314,1930,,,
0.546,1930,,,
0.876,1930,,,
0.937,1930,,,
0.637,1930,,,
0.984,1930,,,
0.695,1930,,,
0.908,1930,,,
0.352,1930,,,
0.738,1930,,,
0.56,1930,,,
0.925,1930,,,
0.757,1930,,,
0.339,1930,,,
0.846,1930,,,
0.724,1930,,,
0.934,1930,,,
0.767,1930,,,
0.689,1930,,,
